Id, Artist, Type, Text
94, 白明 (F/女), 0, 阿哥 都 冇解 嘅 ！ 你 睇 下 我 收 咗 幾多 衣服 洗 吖 ！ 行 到 我 腳 都 跛 咗 嘞 ， 重 喺道 嚟 話 人哋 ！ 第時 唔 去 ！
95, 歐陽儉 (M/男), 0, 哎 ！ 算 嘞 ！ 咁 大把 兄妹 講 下 笑 都 唔 得 ！ 喂 ！ 唔 好 入去 洗衫 嘞 ！ 熨 晒 啲 衫 先 ！ 我 而家 有 約 呀 ！ 吓 ！
96, 伊秋水 (M/男), 0, 有 約 呀 ？ 咦 ！ 咪 好 巴閉 ！ 你 呀 ！ 喂喂 ！
97, 歐陽儉 (M/男), 0, 吓 ？
98, 伊秋水 (M/男), 0, 係咪 佳人有約 吖嘛 ！
99, 歐陽儉 (M/男), 0, 有 咁 好 桃花運 咩 ？ 我 老表 間 餐館 ， 而家 叫 我 去 商量 ， 包 佢 啲 伙計 衣服 呀 ， 啲 檯布 呀 ， 啲 餐布 呀 噉 樣樣 ！ 喂 ！ 拍硬檔 ！ 睇 住 先 ！ 去 ！
100, 伊秋水 (M/男), 0, 發財 喎 ！ 呢 件 事 會 ！ 哼 ！
101, 白明 (F/女), 0, 至 憎 嗰 個 嗰 個 啫 ！ 淨係 單單打打 噉 ！ 嬲 佢 唔 知 ， 話 佢 又 唔好意思 ！
102, 伊秋水 (M/男), 0, 哎唷 ！ 陰公 囉 ！ 你 睇 佢 香汗淋漓 ， 噉 樣 捱 法 就 真係 八過一皮 㗎 ！
103, 伊秋水 (M/男), 0, 粒粒 珍珠 跌 落 地 ！ 真係 辛苦 到 隔籬 ， 又 可愛 ， 又 可憐 ， 香喘微微 ， 你 咁 細 捱 極… ， 點 有 法子 唔 肥 嘞 你 ！
104, 白明 (F/女), 0, 憎死 佢 呀 ！ 淨係 學 埋 晒 啲 咸咸濕濕 嘅 嘢 ！ 唔 聽 呀 ！
105, 伊秋水 (M/男), 0, 唔 係 ！ 我 即係 話 你 嗰 啲 呢 ， 啲 汗 呀 ， 我 話 你 ！
106, 伊秋水 (M/男), 0, 唔 好 講 嘞 ！ 不如 你 乖乖哋 同 我 攞 把扇 嚟 ！ 撥 下 我 ， 我 重 話 你 好 喇 ！
107, 伊秋水 (M/男), 0, 哦 ！ 撥 呀嘛 ？ 從命 ！
108, 歐陽儉 (M/男), 0, 借問 吓 ， 你 老闆 呢 ？
109, 不明 (X/不明), 0, 佢 正話 出街 咋喎 ！ 有 乜 貴幹 呢 你 ？
110, 歐陽儉 (M/男), 0, 冇 ！ 我 係 佢 老表 嚟 ！
111, 不明 (X/不明), 0, 哦 ～ 噉 呀 ？ 誒 …… 你 ……
112, 歐陽儉 (M/男), 0, 明記洗衣 嘅 ！
113, 不明 (X/不明), 0, 冇 錯 ！ 你 明記洗衣店 嘅 ！ 你 隨便 坐 一陣 喇吓 ！ 佢 就 返 嚟 㗎嘞 ！
114, 歐陽儉 (M/男), 0, 呀 ， 就 返 嚟 呀 ？
115, 不明 (X/不明), 0, 佢 話 叫 你 鋌 佢 呀 。
116, 不明 (X/不明), 0, 斟茶 ， 伙計 ！
117, 女 (F/女), 0, 愛 咩 呢 ， 小姐 ？
118, 羅艷卿 (F/女), 0, 茶 喇 ！
119, 女 (F/女), 0, 哦 ！
120, 吳桐 (M/男), 0, 咦 ！ 阿明 ！
121, 歐陽儉 (M/男), 0, 呀 ！ 老表 ！
122, 吳桐 (M/男), 0, 你 …… 嚟 道 做 咩 呀 ？
123, 歐陽儉 (M/男), 0, 吖 ！ 好笑 嘞 ！ 你 約 我 嚟 呢 處 吖嘛 ！
124, 吳桐 (M/男), 0, 哦 ！ 我 都 唔 記得 ！ 你 …… 坐 住 一陣 ， 等等 我 ……
125, 吳桐 (M/男), 0, 咦 ！ 馮 小姐 ！ 乜 咁 錯蕩 呀 ？
126, 羅艷卿 (F/女), 0, 哦 ！ 好 生意 嘛 ？
127, 吳桐 (M/男), 0, 唔見得 ！ 全 憑 你哋 嚟 幫襯 ！ 呀 ！ 等 朋友 呀 ？
128, 羅艷卿 (F/女), 0, 唔 係 ～ 我 睇戲 又 未曾 夠鐘 ， 我 入 嚟 坐 下 咋嘛 ！
129, 吳桐 (M/男), 0, 哦 ！
130, 羅艷卿 (F/女), 0, 坐 喇 ！
131, 羅艷卿 (F/女), 0, 呀 ！ 聽晚 我哋 母校 開 同學 聯歡會 ！ 你 接 到 信 未 呀 ？
132, 吳桐 (M/男), 0, 哦 ！ 接 到 嘞 ！ 我哋 大家 同學 藉 呢 個 機會 嚟 聯絡 下 感情 都 …… 好 應該 嘅 ……
133, 羅艷卿 (F/女), 0, 係 呀 ！
134, 羅艷卿 (F/女), 0, 咦 ！ 夠鐘 嘞 ！ 伙記 ！ 埋單 ！
135, 吳桐 (M/男), 0, 誒 …… 馮 小姐 ！ 唔 使 唔 使 ！
136, 羅艷卿 (F/女), 0, 唔 得 ！
137, 吳桐 (M/男), 0, 小意思 ！ 何必 客氣 呢 ？
138, 吳桐 (M/男), 0, 嗱 ！ 馮 小姐 ！ 一於 係 噉 話 嘞 ， 吓 ！
139, 羅艷卿 (F/女), 0, 好 ！ 再見 嘞 ！
140, 吳桐 (M/男), 0, 再見 ……
141, 羅艷卿 (F/女), 0, 嗱 噉 你 聽晚 早 啲 到 嘞喎 ！
142, 吳桐 (M/男), 0, 好 ！ 一於 一於 ！
143, 吳桐 (M/男), 0, 誒 ！ 做 咩 呀 你 ， 神經 㗎 你 ？
144, 歐陽儉 (M/男), 0, 真係 正 ！
145, 吳桐 (M/男), 0, 正 呀 ？
146, 歐陽儉 (M/男), 0, 喂 ！ 呢 個 係 你 未婚妻 ， 抑或 係 你 雪 …… sweet heart ！
147, 吳桐 (M/男), 0, 你 唔 好 雪 …… 喇 ！ 人哋 未 結婚 㗎 ， 你 真係 ……
148, 歐陽儉 (M/男), 0, 未 結婚 嘅 …… ？ 噉 …… 我 咪 有 行 ？
149, 吳桐 (M/男), 0, 你 就 想 嘞 ！ 你 食 得 山楂麥芽 太 多 嘞 ！ 你 睇 下 你 嘅 樣 ！ 你 冇 …… 冇 鏡 呢 ， 搵 杯 茶 照 下 喇 ！
150, 歐陽儉 (M/男), 0, 我 好 輸蝕 咩 ？ 一表人才 噃 ！ 老表 ！
151, 吳桐 (M/男), 0, 梗係 表 喇 ！ 我 同 你 就 梗係 老表 嘞 ！ 喂 ！ 唔 好 講 咁 多 閒話 ！
152, 吳桐 (M/男), 0, 你 應承 我 舖頭 嗰 啲 …… 嗱 檯布 喇 ， 餐布 呀 ， 同埋 我 伙記 嗰 啲 衣服 點 ， 噉 就 點 樣 計 法 呀 ？
153, 歐陽儉 (M/男), 0, 唔 好 講 咁 多 ！ 老表 ， 總言之 你 介紹 我 相識 呢 個 女仔 呀 ！
154, 吳桐 (M/男), 0, 點 吖 ？
155, 歐陽儉 (M/男), 0, 以後 冚辦爛 免費 ！
156, 吳桐 (M/男), 0, 唏 ……
157, 吳桐 (M/男), 0, 你 唔 好 口輕輕 喎 ！
158, 歐陽儉 (M/男), 0, 冇 口輕輕 ！
159, 吳桐 (M/男), 0, 得 ！ 我 可以 介紹 你 識 ！ 不過 成 唔 成功 呢 ， 你 本人 嘅 事 ！
160, 歐陽儉 (M/男), 0, 噉 就 梗係 喇 ！ 有 咩 辦法 呢 ？
161, 吳桐 (M/男), 0, 辦法 呀 ？
162, 歐陽儉 (M/男), 0, 呀 ， 有 嘞 ！
163, 南紅 (F/女), 0, 少爺 呀 ！ 少爺 ！
164, 鄺山笑 (M/男), 0, 做 咩 呀 ？
165, 南紅 (F/女), 0, 啲 鮮奶 啱 飲 㗎嘞 ！
166, 鄺山笑 (M/男), 0, 唔 飲 呀 ！
167, 南紅 (F/女), 0, 少爺 呀 ， 你 想 食 乜嘢 ， 等 我 叫 廚房 預備 畀 你 吖 ！
168, 鄺山笑 (M/男), 0, 都 話 唔 食 嘞 ！ 爺 …… 爺 咩 呢 ？
169, 南紅 (F/女), 0, 少爺 ！
170, 鄺山笑 (M/男), 0, 出去 喇 ！ 企 喺 道 做 咩 呀 ？ 出去 ……
171, 伊秋水 (M/男), 0, 嗯 ……
172, 鄺山笑 (M/男), 0, 出去 喇 ！
173, 伊秋水 (M/男), 0, 我 嚟 呀 ！ 出去 邊處 呀 ？
